yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.30 (242) 00:00:00  NaN     NaN     NaN  
2017.08.30 (242) 00:05:00  NaN     NaN     NaN  
2017.08.30 (242) 00:10:00  NaN     NaN     NaN  
2017.08.30 (242) 00:15:00  NaN     NaN     NaN  
2017.08.30 (242) 00:20:00  NaN     NaN     NaN  
2017.08.30 (242) 00:25:00  NaN     NaN     NaN  
2017.08.30 (242) 00:30:00  NaN     NaN     NaN  
2017.08.30 (242) 00:35:00  NaN     NaN     NaN  
2017.08.30 (242) 00:40:00  NaN     NaN     NaN  
2017.08.30 (242) 00:45:00  NaN     NaN     NaN  
2017.08.30 (242) 00:50:00  NaN     NaN     NaN  
2017.08.30 (242) 00:55:00  NaN     NaN     NaN  
2017.08.30 (242) 01:00:00  NaN     NaN     NaN  
2017.08.30 (242) 01:05:00  NaN     NaN     NaN  
2017.08.30 (242) 01:10:00  NaN     NaN     NaN  
2017.08.30 (242) 01:15:00  2.100   268.0   275.0
2017.08.30 (242) 01:20:00  NaN     NaN     NaN  
2017.08.30 (242) 01:25:00  2.000   271.0   285.0
2017.08.30 (242) 01:30:00  NaN     NaN     NaN  
2017.08.30 (242) 01:35:00  NaN     NaN     NaN  
2017.08.30 (242) 01:40:00  NaN     NaN     NaN  
2017.08.30 (242) 01:45:00  2.100   272.0   289.0
2017.08.30 (242) 01:50:00  NaN     NaN     NaN  
2017.08.30 (242) 01:55:00  2.100   265.0   285.0
2017.08.30 (242) 02:00:00  2.100   266.0   291.0
2017.08.30 (242) 02:05:00  NaN     NaN     NaN  
2017.08.30 (242) 02:10:00  2.100   281.0   297.0
2017.08.30 (242) 02:15:00  NaN     NaN     NaN  
2017.08.30 (242) 02:20:00  2.100   292.0   316.0
2017.08.30 (242) 02:25:00  2.100   297.0   315.0
2017.08.30 (242) 02:30:00  NaN     NaN     NaN  
2017.08.30 (242) 02:35:00  2.200   300.0   322.0
2017.08.30 (242) 02:40:00  2.200   294.0   316.0
2017.08.30 (242) 02:45:00  2.200   295.0   316.0
2017.08.30 (242) 02:50:00  NaN     NaN     NaN  
2017.08.30 (242) 02:55:00  2.200   292.0   318.0
2017.08.30 (242) 03:00:00  2.200   301.0   327.0
2017.08.30 (242) 03:05:00  2.300   303.0   338.0
2017.08.30 (242) 03:10:00  2.300   304.0   338.0
2017.08.30 (242) 03:15:00  2.300   304.0   331.0
2017.08.30 (242) 03:20:00  NaN     NaN     NaN  
2017.08.30 (242) 03:25:00  2.400   309.0   328.0
2017.08.30 (242) 03:30:00  2.300   298.0   318.0
2017.08.30 (242) 03:35:00  2.300   304.0   321.0
2017.08.30 (242) 03:40:00  2.400   312.0   335.0
2017.08.30 (242) 03:45:00  NaN     NaN     NaN  
2017.08.30 (242) 03:50:00  2.500   303.0   322.0
2017.08.30 (242) 03:55:00  NaN     NaN     NaN  
2017.08.30 (242) 04:00:00  2.500   288.0   300.0
2017.08.30 (242) 04:05:00  NaN     NaN     NaN  
2017.08.30 (242) 04:10:00  NaN     NaN     NaN  
2017.08.30 (242) 04:15:00  NaN     NaN     NaN  
2017.08.30 (242) 04:20:00  NaN     NaN     NaN  
2017.08.30 (242) 04:25:00  2.400   309.0   339.0
2017.08.30 (242) 04:30:00  2.400   319.0   341.0
2017.08.30 (242) 04:35:00  NaN     NaN     NaN  
2017.08.30 (242) 04:40:00  NaN     NaN     NaN  
2017.08.30 (242) 04:45:00  2.400   316.0   342.0
2017.08.30 (242) 04:50:00  2.400   319.0   345.0
2017.08.30 (242) 04:55:00  2.400   324.0   342.0
