yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.30 (242) 00:00:00  NaN     224.0   NaN  
2017.08.30 (242) 00:05:00  NaN     222.0   NaN  
2017.08.30 (242) 00:10:00  NaN     218.0   NaN  
2017.08.30 (242) 00:15:00  NaN     219.0   NaN  
2017.08.30 (242) 00:20:00  NaN     221.0   NaN  
2017.08.30 (242) 00:25:00  NaN     219.0   NaN  
2017.08.30 (242) 00:30:00  NaN     221.0   NaN  
2017.08.30 (242) 00:35:00  NaN     218.0   NaN  
2017.08.30 (242) 00:40:00  NaN     218.0   NaN  
2017.08.30 (242) 00:45:00  NaN     221.0   NaN  
2017.08.30 (242) 00:50:00  NaN     221.0   NaN  
2017.08.30 (242) 00:55:00  NaN     216.0   NaN  
2017.08.30 (242) 01:00:00  NaN     218.0   NaN  
2017.08.30 (242) 01:05:00  NaN     221.0   NaN  
2017.08.30 (242) 01:10:00  NaN     216.0   NaN  
2017.08.30 (242) 01:15:00  2.100   228.0   283.0
2017.08.30 (242) 01:20:00  2.100   265.0   302.0
2017.08.30 (242) 01:25:00  2.000   280.0   314.0
2017.08.30 (242) 01:30:00  2.000   296.0   319.0
2017.08.30 (242) 01:35:00  NaN     218.0   NaN  
2017.08.30 (242) 01:40:00  NaN     219.0   NaN  
2017.08.30 (242) 01:45:00  2.100   277.0   294.0
2017.08.30 (242) 01:50:00  NaN     NaN     NaN  
2017.08.30 (242) 01:55:00  2.100   271.0   297.0
2017.08.30 (242) 02:00:00  2.100   279.0   293.0
2017.08.30 (242) 02:05:00  2.100   285.0   302.0
2017.08.30 (242) 02:10:00  2.100   319.0   386.0
2017.08.30 (242) 02:15:00  2.100   302.0   335.0
2017.08.30 (242) 02:20:00  2.100   303.0   334.0
2017.08.30 (242) 02:25:00  2.100   303.0   323.0
2017.08.30 (242) 02:30:00  2.100   300.0   312.0
2017.08.30 (242) 02:35:00  2.200   300.0   314.0
2017.08.30 (242) 02:40:00  2.200   300.0   300.0
2017.08.30 (242) 02:45:00  2.200   306.0   326.0
2017.08.30 (242) 02:50:00  2.200   302.0   305.0
2017.08.30 (242) 02:55:00  2.200   308.0   332.0
2017.08.30 (242) 03:00:00  2.200   309.0   334.0
2017.08.30 (242) 03:05:00  2.300   319.0   339.0
2017.08.30 (242) 03:10:00  2.300   316.0   349.0
2017.08.30 (242) 03:15:00  2.300   314.0   343.0
2017.08.30 (242) 03:20:00  2.300   345.0   348.0
2017.08.30 (242) 03:25:00  2.400   331.0   354.0
2017.08.30 (242) 03:30:00  2.300   303.0   325.0
2017.08.30 (242) 03:35:00  2.400   306.0   329.0
2017.08.30 (242) 03:40:00  2.400   316.0   337.0
2017.08.30 (242) 03:45:00  2.400   299.0   331.0
2017.08.30 (242) 03:50:00  2.400   302.0   317.0
2017.08.30 (242) 03:55:00  2.600   290.0   319.0
2017.08.30 (242) 04:00:00  2.500   290.0   320.0
2017.08.30 (242) 04:05:00  2.500   280.0   296.0
2017.08.30 (242) 04:10:00  2.400   326.0   368.0
2017.08.30 (242) 04:15:00  2.500   325.0   355.0
2017.08.30 (242) 04:20:00  2.400   337.0   369.0
2017.08.30 (242) 04:25:00  2.400   328.0   354.0
2017.08.30 (242) 04:30:00  2.400   322.0   351.0
2017.08.30 (242) 04:35:00  2.400   348.0   358.0
2017.08.30 (242) 04:40:00  2.400   352.0   369.0
2017.08.30 (242) 04:45:00  2.400   334.0   343.0
2017.08.30 (242) 04:50:00  2.400   323.0   352.0
2017.08.30 (242) 04:55:00  2.400   328.0   349.0
2017.08.30 (242) 05:00:00  2.400   342.0   361.0
2017.08.30 (242) 05:05:00  2.600   340.0   368.0
2017.08.30 (242) 05:10:00  2.600   410.0   432.0
2017.08.30 (242) 05:15:00  2.400   365.0   412.0
2017.08.30 (242) 05:20:00  2.600   345.0   412.0
2017.08.30 (242) 05:25:00  2.600   361.0   398.0
2017.08.30 (242) 05:30:00  2.500   351.0   381.0
2017.08.30 (242) 05:35:00  2.800   361.0   433.0
2017.08.30 (242) 05:40:00  NaN     NaN     NaN  
2017.08.30 (242) 05:45:00  2.500   407.0   443.0
2017.08.30 (242) 05:50:00  3.000   348.0   381.0
2017.08.30 (242) 05:55:00  3.000   345.0   378.0
2017.08.30 (242) 06:00:00  3.100   331.0   386.0
2017.08.30 (242) 06:05:00  3.100   337.0   354.0
2017.08.30 (242) 06:10:00  3.100   294.0   332.0
2017.08.30 (242) 06:15:00  3.100   283.0   317.0
2017.08.30 (242) 06:20:00  3.100   277.0   311.0
2017.08.30 (242) 06:25:00  3.100   265.0   299.0
2017.08.30 (242) 06:30:00  3.100   257.0   293.0
2017.08.30 (242) 06:35:00  3.200   254.0   276.0
2017.08.30 (242) 06:40:00  3.300   247.0   277.0
2017.08.30 (242) 06:45:00  3.400   245.0   274.0
2017.08.30 (242) 06:50:00  3.600   236.0   262.0
2017.08.30 (242) 06:55:00  3.600   233.0   262.0
2017.08.30 (242) 07:00:00  3.900   230.0   276.0
2017.08.30 (242) 07:05:00  3.800   227.0   260.0
2017.08.30 (242) 07:10:00  4.000   233.0   262.0
2017.08.30 (242) 07:15:00  3.800   227.0   257.0
2017.08.30 (242) 07:20:00  3.900   222.0   254.0
2017.08.30 (242) 07:25:00  4.000   224.0   256.0
2017.08.30 (242) 07:30:00  3.900   216.0   247.0
2017.08.30 (242) 07:35:00  3.800   213.0   239.0
2017.08.30 (242) 07:40:00  3.800   208.0   236.0
2017.08.30 (242) 07:45:00  3.600   211.0   225.0
2017.08.30 (242) 07:50:00  3.400   208.0   233.0
2017.08.30 (242) 07:55:00  3.200   211.0   234.0
2017.08.30 (242) 08:00:00  3.000   208.0   225.0
2017.08.30 (242) 08:05:00  2.700   210.0   222.0
2017.08.30 (242) 08:10:00  2.600   216.0   227.0
2017.08.30 (242) 08:15:00  2.500   210.0   228.0
2017.08.30 (242) 08:20:00  2.400   228.0   236.0
2017.08.30 (242) 08:25:00  2.000   205.0   297.0
2017.08.30 (242) 08:30:00  NaN     NaN     NaN  
2017.08.30 (242) 08:35:00  NaN     256.0   NaN  
2017.08.30 (242) 08:40:00  NaN     NaN     NaN  
2017.08.30 (242) 08:45:00  2.100   265.0   305.0
2017.08.30 (242) 08:50:00  2.400   294.0   349.0
2017.08.30 (242) 08:55:00  2.300   279.0   297.0
2017.08.30 (242) 09:00:00  2.500   245.0   268.0
2017.08.30 (242) 09:05:00  2.800   237.0   262.0
2017.08.30 (242) 09:10:00  3.100   241.0   256.0
2017.08.30 (242) 09:15:00  3.400   228.0   244.0
2017.08.30 (242) 09:20:00  3.600   222.0   234.0
2017.08.30 (242) 09:25:00  3.800   222.0   228.0
2017.08.30 (242) 09:30:00  4.000   222.0   227.0
2017.08.30 (242) 09:35:00  4.200   221.0   228.0
2017.08.30 (242) 09:40:00  4.300   219.0   228.0
2017.08.30 (242) 09:45:00  4.400   218.0   225.0
2017.08.30 (242) 09:50:00  4.300   213.0   225.0
2017.08.30 (242) 09:55:00  4.400   219.0   230.0
2017.08.30 (242) 10:00:00  4.600   225.0   231.0
2017.08.30 (242) 10:05:00  4.600   221.0   224.0
2017.08.30 (242) 10:10:00  4.800   222.0   231.0
2017.08.30 (242) 10:15:00  4.900   225.0   237.0
2017.08.30 (242) 10:20:00  5.000   227.0   241.0
2017.08.30 (242) 10:25:00  5.100   230.0   236.0
2017.08.30 (242) 10:30:00  5.300   231.0   233.0
2017.08.30 (242) 10:35:00  4.800   227.0   239.0
2017.08.30 (242) 10:40:00  4.800   225.0   242.0
2017.08.30 (242) 10:45:00  5.000   215.0   253.0
2017.08.30 (242) 10:50:00  5.000   218.0   253.0
2017.08.30 (242) 10:55:00  5.100   211.0   254.0
2017.08.30 (242) 11:00:00  5.300   213.0   253.0
2017.08.30 (242) 11:05:00  5.300   218.0   256.0
2017.08.30 (242) 11:10:00  5.200   205.0   256.0
2017.08.30 (242) 11:15:00  5.200   204.0   251.0
2017.08.30 (242) 11:20:00  5.300   216.0   265.0
