yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.28 (240) 00:00:00  2.300   247.0   247.0
2017.08.28 (240) 00:05:00  2.200   271.0   271.0
2017.08.28 (240) 00:10:00  2.200   312.0   314.0
2017.08.28 (240) 00:15:00  2.300   323.0   326.0
2017.08.28 (240) 00:20:00  2.300   312.0   312.0
2017.08.28 (240) 00:25:00  2.400   319.0   319.0
2017.08.28 (240) 00:30:00  2.400   314.0   316.0
2017.08.28 (240) 00:35:00  2.500   314.0   314.0
2017.08.28 (240) 00:40:00  2.500   304.0   304.0
2017.08.28 (240) 00:45:00  2.600   295.0   297.0
2017.08.28 (240) 00:50:00  2.600   285.0   288.0
2017.08.28 (240) 00:55:00  2.600   283.0   285.0
2017.08.28 (240) 01:00:00  2.700   276.0   276.0
2017.08.28 (240) 01:05:00  2.700   271.0   274.0
2017.08.28 (240) 01:10:00  2.700   274.0   276.0
2017.08.28 (240) 01:15:00  2.800   257.0   257.0
2017.08.28 (240) 01:20:00  2.700   255.0   255.0
2017.08.28 (240) 01:25:00  2.800   247.0   247.0
2017.08.28 (240) 01:30:00  2.700   247.0   247.0
2017.08.28 (240) 01:35:00  2.800   247.0   247.0
2017.08.28 (240) 01:40:00  2.800   247.0   247.0
2017.08.28 (240) 01:45:00  2.800   252.0   255.0
2017.08.28 (240) 01:50:00  2.900   245.0   245.0
2017.08.28 (240) 01:55:00  NaN     NaN     NaN  
2017.08.28 (240) 02:00:00  3.000   259.0   295.0
2017.08.28 (240) 02:05:00  3.000   262.0   262.0
2017.08.28 (240) 02:10:00  3.000   262.0   262.0
2017.08.28 (240) 02:15:00  2.900   283.0   285.0
2017.08.28 (240) 02:20:00  2.800   262.0   264.0
2017.08.28 (240) 02:25:00  3.000   281.0   302.0
2017.08.28 (240) 02:30:00  3.000   245.0   259.0
2017.08.28 (240) 02:35:00  3.000   243.0   259.0
2017.08.28 (240) 02:40:00  2.900   247.0   269.0
2017.08.28 (240) 02:45:00  2.900   243.0   245.0
2017.08.28 (240) 02:50:00  2.900   252.0   262.0
2017.08.28 (240) 02:55:00  2.900   243.0   262.0
2017.08.28 (240) 03:00:00  2.800   264.0   266.0
2017.08.28 (240) 03:05:00  2.800   266.0   269.0
2017.08.28 (240) 03:10:00  2.800   274.0   276.0
2017.08.28 (240) 03:15:00  2.800   283.0   285.0
2017.08.28 (240) 03:20:00  2.800   247.0   245.0
2017.08.28 (240) 03:25:00  NaN     NaN     NaN  
2017.08.28 (240) 03:30:00  2.700   245.0   245.0
2017.08.28 (240) 03:35:00  2.600   247.0   250.0
2017.08.28 (240) 03:40:00  2.600   259.0   262.0
2017.08.28 (240) 03:45:00  2.600   262.0   264.0
2017.08.28 (240) 03:50:00  2.600   269.0   269.0
2017.08.28 (240) 03:55:00  2.600   269.0   271.0
2017.08.28 (240) 04:00:00  2.700   274.0   276.0
2017.08.28 (240) 04:05:00  2.700   283.0   283.0
2017.08.28 (240) 04:10:00  2.600   281.0   278.0
2017.08.28 (240) 04:15:00  2.700   281.0   283.0
2017.08.28 (240) 04:20:00  2.700   269.0   269.0
2017.08.28 (240) 04:25:00  2.600   288.0   288.0
2017.08.28 (240) 04:30:00  NaN     NaN     NaN  
2017.08.28 (240) 04:35:00  NaN     NaN     NaN  
2017.08.28 (240) 04:40:00  NaN     NaN     NaN  
2017.08.28 (240) 04:45:00  2.600   307.0   307.0
