Year  Day  Hour  Min  BzG     SPE    Den    Ey     AE    SYMh  
2017  213  0     0    -0.36   NaN    NaN    NaN    112   11    
2017  213  0     5    -0.08   NaN    NaN    NaN    98    10    
2017  213  0     10   0.05    325.4  10.47  0      100   NaN   
2017  213  0     15   0.21    NaN    NaN    NaN    96    NaN   
2017  213  0     20   -1.29   327.9  10.54  0.46   97    8     
2017  213  0     25   -1.52   330.2  9.87   0.61   89    8     
2017  213  0     30   -1.8    NaN    NaN    NaN    88    8     
2017  213  0     35   -1.65   327.1  10.28  0.61   87    8     
2017  213  0     40   -1.31   325.9  10.07  0.4    84    8     
2017  213  0     45   -0.06   327.6  10.47  0.03   87    8     
2017  213  0     50   -0.93   328    10.44  0.3    93    8     
2017  213  0     55   -1.56   327.4  10.64  0.47   87    8     
2017  213  1     0    -2.2    327.4  10.58  0.72   85    NaN   
2017  213  1     5    -0.37   331    10.37  0.12   87    8     
2017  213  1     10   0.35    332.6  10.85  -0.12  78    NaN   
2017  213  1     15   -0.78   331.7  10.98  0.26   83    NaN   
2017  213  1     20   -0.79   332.8  11.12  0.26   93    10    
2017  213  1     25   -0.78   332.8  11.43  0.26   93    NaN   
2017  213  1     30   -0.51   333.9  10.98  0.17   86    NaN   
2017  213  1     35   -1.15   331.7  12.43  0.39   88    NaN   
2017  213  1     40   -1.54   330.5  11.88  0.51   91    8     
2017  213  1     45   -2.41   332    11.55  0.8    104   8     
2017  213  1     50   -1.75   331.4  11.37  0.58   101   8     
2017  213  1     55   -0.03   334.9  11.66  0.01   98    8     
2017  213  2     0    -0.88   333.5  11.58  0.29   110   7     
2017  213  2     5    -1.57   332    11.41  0.52   112   7     
2017  213  2     10   -1.62   332    11.58  0.54   112   7     
2017  213  2     15   -1.59   331.5  11.2   0.53   109   7     
2017  213  2     20   -1.39   330.9  11.27  0.46   110   7     
2017  213  2     25   -0.84   331.1  11.54  0.28   129   7     
2017  213  2     30   -1.46   328.7  11.17  0.48   161   7     
2017  213  2     35   -1.8    327.4  11.07  0.59   155   7     
2017  213  2     40   -1.8    326.2  10.9   0.58   157   6     
2017  213  2     45   -1.81   325.8  11.14  0.58   150   5     
2017  213  2     50   -1.83   NaN    NaN    NaN    153   5     
