yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 00:00:11    4.0   226.0   228.0
2017.08.01 (213) 00:04:59    3.9   226.0   217.0
2017.08.01 (213) 00:10:23    3.6   224.0   219.0
2017.08.01 (213) 00:15:11    3.6   219.0   224.0
2017.08.01 (213) 00:19:59    3.8   226.0   219.0
2017.08.01 (213) 00:25:23    3.6   226.0   219.0
2017.08.01 (213) 00:30:11    3.8   226.0   221.0
2017.08.01 (213) 00:34:59    3.6   224.0   224.0
2017.08.01 (213) 00:40:23    3.3   221.0   214.0
2017.08.01 (213) 00:45:11    3.1   219.0   221.0
2017.08.01 (213) 00:49:59    3.2   221.0   221.0
2017.08.01 (213) 00:55:23    3.2   221.0   209.0
2017.08.01 (213) 01:00:11    3.2   219.0   224.0
2017.08.01 (213) 01:04:59    3.5   224.0   219.0
2017.08.01 (213) 01:10:23    3.6   224.0   219.0
2017.08.01 (213) 01:15:11    4.2   214.0   219.0
2017.08.01 (213) 01:19:59    4.3   221.0   219.0
2017.08.01 (213) 01:25:23    4.2   228.0   209.0
2017.08.01 (213) 01:30:11    4.1   221.0   224.0
2017.08.01 (213) 01:34:59    2.9   212.0   214.0
2017.08.01 (213) 01:40:23    3.2   221.0   219.0
2017.08.01 (213) 01:45:11    3.6   219.0   226.0
2017.08.01 (213) 01:49:59    3.1   209.0   219.0
2017.08.01 (213) 01:55:23    4.4   214.0   214.0
2017.08.01 (213) 02:00:11    4.4   207.0   217.0
2017.08.01 (213) 02:04:59    3.6   217.0   219.0
2017.08.01 (213) 02:10:23  NaN     NaN     NaN  
2017.08.01 (213) 02:15:11  NaN     NaN     NaN  
2017.08.01 (213) 02:19:59  NaN     NaN     NaN  
2017.08.01 (213) 02:25:23    1.8   283.0   281.0
2017.08.01 (213) 02:30:11    1.8   276.0   285.0
2017.08.01 (213) 02:34:59    1.9   264.0   274.0
2017.08.01 (213) 02:40:23    2.0   262.0   274.0
2017.08.01 (213) 02:45:11    1.9   264.0   285.0
2017.08.01 (213) 02:49:59    2.0   257.0   281.0
2017.08.01 (213) 02:55:23    1.9   266.0   285.0
2017.08.01 (213) 03:00:11    2.2   295.0   319.0
2017.08.01 (213) 03:04:59  NaN     NaN     NaN  
2017.08.01 (213) 03:10:23  NaN     NaN     NaN  
2017.08.01 (213) 03:15:11  NaN     NaN     NaN  
2017.08.01 (213) 03:19:59  NaN     NaN     NaN  
2017.08.01 (213) 03:25:23  NaN     NaN     NaN  
2017.08.01 (213) 03:30:11  NaN     NaN     NaN  
2017.08.01 (213) 03:34:59  NaN     NaN     NaN  
2017.08.01 (213) 03:40:23  NaN     NaN     NaN  
2017.08.01 (213) 03:45:11    2.2   259.0   283.0
2017.08.01 (213) 03:49:59  NaN     NaN     NaN  
2017.08.01 (213) 03:55:23  NaN     NaN     NaN  
2017.08.01 (213) 04:00:11  NaN     NaN     NaN  
2017.08.01 (213) 04:04:59  NaN     NaN     NaN  
2017.08.01 (213) 04:10:23  NaN     NaN     NaN  
2017.08.01 (213) 04:15:11  NaN     NaN     NaN  
2017.08.01 (213) 04:19:59  NaN     NaN     NaN  
2017.08.01 (213) 04:25:23  NaN     NaN     NaN  
2017.08.01 (213) 04:30:11  NaN     NaN     NaN  
2017.08.01 (213) 04:34:59  NaN     NaN     NaN  
2017.08.01 (213) 04:40:23  NaN     NaN     NaN  
2017.08.01 (213) 04:45:11  NaN     NaN     NaN  
2017.08.01 (213) 04:49:59  NaN     NaN     NaN  
2017.08.01 (213) 04:55:23  NaN     NaN     NaN  
2017.08.01 (213) 05:00:11  NaN     NaN     NaN  
2017.08.01 (213) 05:04:59  NaN     NaN     NaN  
2017.08.01 (213) 05:10:23  NaN     NaN     NaN  
2017.08.01 (213) 05:15:11  NaN     NaN     NaN  
2017.08.01 (213) 05:19:59  NaN     NaN     NaN  
2017.08.01 (213) 05:25:23  NaN     NaN     NaN  
2017.08.01 (213) 05:30:11  NaN     NaN     NaN  
2017.08.01 (213) 05:34:59  NaN     NaN     NaN  
2017.08.01 (213) 05:40:23  NaN     NaN     NaN  
2017.08.01 (213) 05:45:11  NaN     NaN     NaN  
2017.08.01 (213) 05:49:59  NaN     NaN     NaN  
2017.08.01 (213) 05:55:23  NaN     NaN     NaN  
2017.08.01 (213) 06:00:11  NaN     NaN     NaN  
2017.08.01 (213) 06:04:59  NaN     NaN     NaN  
2017.08.01 (213) 06:10:23  NaN     NaN     NaN  
2017.08.01 (213) 06:15:11  NaN     NaN     NaN  
2017.08.01 (213) 06:19:59  NaN     NaN     NaN  
2017.08.01 (213) 06:25:23  NaN     NaN     NaN  
2017.08.01 (213) 06:30:11  NaN     NaN     NaN  
